Task 2.5 Results for links.txt with pageRank
Ran 38 iterations.
1. 113605 0.008691495340004497
2. 174465 0.007493387844308787
3. 51553 0.005349139455307053
4. 865076 0.003013815592888352
5. 50673 0.0029977994427247117
6. 51163 0.0025699694197737805
7. 7134 0.002354514155092863
8. 946809 0.0018900378188943822
9. 724175 0.0018839275125090086
10. 54274 0.0017551552542051732
11. 51575 0.001704440607505388
12. 54878 0.0016981213524508271
13. 81383 0.001678004219323392
14. 1068408 0.0016481638060760627
15. 406228 0.001604391690646995
16. 865079 0.0015856623850470375
17. 938362 0.0015304776720461463
18. 69281 0.0015274052299686762
19. 51527 0.0014791473375239791
20. 1103313 0.0014688301868201262
21. 50732 0.001441555458881916
22. 517649 0.0013843388612256237
23. 591587 0.0013540649425101007
24. 227559 0.0012741902425007674
25. 50676 0.0011028705510319771
26. 110193 0.001097789412884865
27. 972752 0.0010942438152234991
28. 58043 0.001051117861122294
29. 51776 0.001048561149943772
30. 459209 0.0010074715036966534
31. 74905 0.0010009576726613268
32. 50627 9.831201967611665E-4
33. 498652 9.792183299914994E-4
34. 1081 9.472953794507326E-4
35. 423818 9.440009140330568E-4
36. 2022 9.136792821963788E-4
37. 836 9.068434613957739E-4
38. 66482 8.702314704612727E-4
39. 499414 8.629179804633036E-4
40. 459421 8.628009834556707E-4
41. 73797 8.352450308868989E-4
42. 82131 8.272032364404356E-4
43. 2634 8.228995342164192E-4
44. 628 8.166880809423989E-4
45. 522 8.149334164834271E-4
46. 51533 7.889734264526754E-4
47. 951521 7.870411066756044E-4
48. 55124 7.853066163174723E-4
49. 1101476 7.344206713028282E-4
50. 865075 7.165988489596173E-4
